طيب كلّو عم ينتقد ريمون غجر وصح تعبيرو غلط بس سؤال غجر هوي سبب شحّ الدولار? او هوي عم بعاني نتيجة شحّ الدولار? هوي المسؤول عن مالية الدولة 30سنة? هوي للي قرر يدعم البنزين? هوي للي ما عمل خطة مواصلات من 30 سنة? يعني للي سرقونا وسرقوا إدارات الدولة من 30سنة بريئين وغجر المشكلة?,روح نام وسلم على الماما نشالله ما يشوفك حدا من الشعب إللي رايحه مصريات وحطلك رصاصه براسك انت التيار هربولك مصرياتك وعايش بل النعيم حاج بقى تبيضو طناجر الهيكل وقع على راسنا وبعدك بتقول ما دخلن هني الدوله والاكترييه النيابيه هني وبتقلي ما خصن مين إللي لحاكم البلد مش هني يشتغلون,negative
قال شو جايين على البترون يقاطعوا كلّ شي الي علاقة فيه! انا الي علاقة بحجار البترون وبناسها، بتاريخها وبمستقبلها، وشاغل فيها تحت ارضها وفوقها. من طفولتي، انا وبلديتها وأهلها، منشتغل فيها حجر حجر، ومنرمّم فيها قرنة قرنة لوصلت لهون...,انت اشتريت البترون وحجارا منهم أغويتهم ومنهم أجبرتهم يبيعوك أكيد مستقبل البترون ما رح تكون حاضر فيه,negative
طيب يعني كل ما قرروا 15 أزعر يقطعو طريق بتتفرج عليهم القوى الأمنية وبيذلو الناس بالشوب وبأزمة البنزين . طيب يعني هني هلق عبيزعجو المسؤولين عن الأزمة أو عبيزعجو المواطن المعتر?. خلصنا بقا عنا 120 ألف عسكري ما حدا يقنعني إنو ما فيهن يمنعو قطع الطرق الرئيسية .,لتتوقف طوابير الذل اولا... أدوية .مواد غذائيه. .محروقات...انخفاض سعر الصرف ...ام نسيتم ...,neutral
يزورنا اليوم وزير خارجية دويلة قطر للمساعدة في الحلول . كم نتمنى أن تساعد قطر في الحلول على الساحات التي تدفع فيها الأموال دعماً للإرهاب في سوريا وليبيا .,إذا قطر دويلة! لبنان الذي تنتمي إليه شو ??,no_ref
قانون كشف حسابات وأملاك القائمين بخدمة عامة من موظفين وسياسيين: وين صار القانون? شو في قانون اهمّ من هيدا لنعرف حقيقةً مين سرق المال العام! ونخلص من الفاسدين يلّي بيحاضروا بالعفة والآدميّة!,نكرت معرفتك برالف فيصل وطلعت مجتمع معو منذ 2010 بتركيا كما ذكر في برنامج #يسقط_حكم_الفاسد وبينما البلد عم يحترق ويتدهور بسبب #عهد_الذل حضرتك كنت مشغول بشراء عقارات والعشرات تم تسجيله في 2020 واليوم بعدكم طاوشنا بالتدقيق الجنائي وقوانين الفساد؛بس شوية حياء اذا في #عهدكم_دمار_الوطن,negative
نقطة واتوقع سنجل ولا تيكن,. تيكن من غير متحكي بس هي نقطة ...,positive
من اكبر فضائح الكويت. اسمعوا كل كلمة.,هذا عميلكم هو والداهوم وشلة الاخونج والايرانيين . عن طريق قطر وايران تجندون عملاءكم . .,negative
كل صباح أخبر قلبك انه يستحق الفرح... #لبنان_الحلو🇱🇧,يسعد صباحك يارب,positive
وهيدي لوبية طلعت🥳 انتو شو زرعتوا? #صباح_الخير 🇱🇧❤️,صباح الانواار والخيرات ❤️🌿,positive
لكل يلي بحمّلوا سلاح المقاومة كل مصايبنا وعم بلومونا على تموضعنا السياسي👇. تفضّلوا عطونا طرحكن البديل بوجه سياسات التوطين والدمج والحدود لنناقشو. #فكروا_فيا,يسلم تمك. بدنا كل حقنا بثروتنا النفطية وبحدونا البحرية والبرية وما منا لا تجنيس ولا توطين ونقطة ع اخر السطر لبنان لكل اللبنانيين,positive
إستغلال الاماكن الدينية في فرنسا من اجل اجندات إيران التخريبية,سبحانك اللهم لاتبقي حجر على حجر في إيران سبحانك اللهم امين يارب العالمين,no_ref
الممثل الاعلى للسياسة الخارجية في الاتحاد الأوروبي جوزيف بوريل بعد لقائه الرئيس عون: لا نستطيع تقديم المساعدات من دون قيام لبنان بالاصلاحات ولدينا الموارد للمساعدة,اول بند في الاصلاح هو نفض واعادة ترتيب وصياغة الدولة اللبنانية التي تحولت الى قبائل واوكار الفساد بما تحتوي من موظفين ونفض القضاء واعادة العدالة الى المظلومين اقفال كل الصناديق والمجالس والرئاسات بما تستهلكه من مصاريف وهدر ورواتب فضافضة,no_ref
صباح الخير ... من لم يكن نورًا لنفسه لن تسعفه كل أضواء الكون. ✨💛,صباحك فل وسعادة اخوي 🌹,positive
البعض يحاول التضليل والمس باحقية اليهود من مدينة #اورشليم . شاهدوا اعتراف صريح وواضح بعلاقة اليهود بجبل الهيكل #قبلة_اليهود,القدس قبلة كل الأديان يا احمق لا احد ينكر,negative
مبروك إم شورت وصلت ع هوليوود الشرق😂😂,يعني بالسعوديه بتفوت بالشورت 🤔,neutral
كل ما تقومون به لا يحتاج الى تفاوض بل الى احترام قواعد .لذلك ما تتعبوا...,تيكون عندكن جنس الإحترام يا #عهد_الذل يا #عهد_لا_أخلاق,negative
كل الشكر والتقدير للحكومة العراقية ورئيسها مصطفى الكاظمي الذي وعد ووفى. إذ تمت الموافقة رسمياً على تزويد لبنان بمليون طن من الفيول مع تسهيلات بالدفع . شكراً للعراق لأن هذا يعني إبتعاد شبح العتمة الكاملة.,شكرا لدوله الرئيس نبيه بري على هذا الانجاز الوطني العظيم الذي استمر شهرين بالتفاوض مع اللواء عباس ابراهيم،،وشكرا لدوله العراق الشقيقه على هده اللفته المشكوره،،والي عم بحاول يسوق الموضوع لمصلحتو يخيط بغير مسله،،,no_ref
صباح الخير لأحلى اصدقاء☕️🌹,صباحوو احلا جو,positive
الكابتيال كونترول كان مفروض يصدر ثاني او ثالث يوم بعد 17 تشرين. مرّ سنة و 8 اشهر عليه. ليش? لأنهم استفادوا من تهريب الأموال للخارج، لا بل هرّبوها هنّي؛ ومين هو صاحب المصرف يلّي بيسترجي يقلهن لا! على قول احد اصحاب المصارف... ولليوم بعدهم عم يهرّبوا، ومن هيك ما بدّهم اقرار القانون,بلكي لازم تسلمو ل ابراهيم كنعان?!...😂,neutral
نائبة عربية متزوجة من صهيوني تشارك في الحكومة الإسرائيلية الجديدة وتغرد فقط في العبرية . عن الصهاينة العرب احدثكم.,هذه نعجه لابسه بروكه,no_ref
يا للصدفة كل يوم عم يموتوا عناصر حماس موت طبيعي.واحد نوبة قلبية واحد مرض عضال. هه فاكرين نحن حمير?? هه,مش مفكرين انكم حمير متأكدين انكم حمير 😂😂 مع كامل الاحترام للحمير 😉😉,negative
الجو هادا بدو اشي من تلت حروف شو هوا ?,خليهم 4 . الجواب سحلب 😂😂,positive
